title,author,genre,description
Foundation,Isaac Asimov,Science Fiction,"A mathematician predicts the fall of a galactic empire and works to preserve civilization through the coming dark age. Themes of politics, prediction, civilization, space empire, strategy."
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,"An ordinary man is swept into a chaotic journey across the galaxy moments before Earth's destruction. Themes of humor, space travel, absurdity, adventure, satire."
Snow Crash,Neal Stephenson,Science Fiction,"A hacker and pizza delivery driver uncovers a dangerous linguistic virus spreading through a virtual reality metaverse. Themes of cyberpunk, virtual reality, hacking, conspiracy, technology."
Neuromancer,William Gibson,Science Fiction,"A washed-up hacker is hired for one last high-stakes job in a gritty, corporate-controlled cyberpunk future. Themes of cyberpunk, hacking, artificial intelligence, corporate power, technology."
The Time Machine,H.G. Wells,Science Fiction,"An inventor travels far into the future and discovers humanity has split into two starkly different species. Themes of time travel, evolution, society, science, exploration."
Project Hail Mary,Andy Weir,Science Fiction,"A lone astronaut wakes with no memory on a mission to save humanity from an extinction-level threat. Themes of survival, science, friendship, space, problem solving."
Pride and Prejudice,Jane Austen,Classic,"A witty young woman navigates family expectations, misunderstandings, and pride to find true love in Regency England. Themes of romance, social class, wit, family, self-discovery."
To Kill a Mockingbird,Harper Lee,Classic,"A young girl in the American South witnesses her father defend an innocent Black man in a racially charged trial. Themes of justice, racism, childhood, morality, family."
The Great Gatsby,F. Scott Fitzgerald,Classic,"A mysterious millionaire's obsessive pursuit of a lost love unravels amid the glamour and decay of the Jazz Age. Themes of wealth, love, illusion, tragedy, society."
Jane Eyre,Charlotte Bronte,Classic,"An orphaned governess forges her own path and finds love while confronting hardship and moral conviction. Themes of independence, romance, resilience, class, self-discovery."
Wuthering Heights,Emily Bronte,Classic,"A passionate and destructive love story unfolds across two generations on the wild English moors. Themes of obsession, revenge, love, tragedy, family."
Little Women,Louisa May Alcott,Classic,"Four sisters grow up together during and after the Civil War, each pursuing their own dreams and facing hardship. Themes of family, sisterhood, coming of age, ambition, love."
Anna Karenina,Leo Tolstoy,Classic,"A married woman's passionate affair leads to personal and social ruin against the backdrop of Russian aristocracy. Themes of love, society, tragedy, morality, family."
Moby-Dick,Herman Melville,Classic,"A sailor joins a whaling voyage led by a captain obsessed with hunting the great white whale that maimed him. Themes of obsession, revenge, sea adventure, fate, nature."
The Catcher in the Rye,J.D. Salinger,Classic,"A disillusioned teenager wanders New York City reflecting on innocence, alienation, and growing up. Themes of alienation, coming of age, identity, rebellion, loss."
Crime and Punishment,Fyodor Dostoevsky,Classic,"A poor former student commits a murder and is tormented by guilt and moral conflict in the aftermath. Themes of guilt, morality, crime, redemption, psychology."
Gone Girl,Gillian Flynn,Thriller,"A woman's disappearance reveals dark secrets and manipulations within her seemingly perfect marriage. Themes of psychological thriller, marriage, deception, mystery, unreliable narrator."
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,"A disgraced journalist and a brilliant hacker investigate a decades-old disappearance tied to a wealthy family's dark secrets. Themes of mystery, investigation, crime, corruption, revenge."
The Silent Patient,Alex Michaelides,Thriller,"A psychotherapist becomes obsessed with uncovering why a famous painter shot her husband and then went silent. Themes of psychological thriller, mystery, obsession, secrets, therapy."
Gone with the Wind,Margaret Mitchell,Historical Fiction,"A headstrong Southern woman fights to survive and rebuild her life amid the devastation of the Civil War. Themes of survival, love, war, resilience, ambition."
The Book Thief,Markus Zusak,Historical Fiction,"A young girl living in Nazi Germany finds solace in stealing books and forms unlikely bonds amid the horrors of war. Themes of war, courage, family, loss, the power of words."
All the Light We Cannot See,Anthony Doerr,Historical Fiction,"A blind French girl and a German soldier boy have their paths converge during World War II. Themes of war, survival, hope, connection, resilience."
The Kite Runner,Khaled Hosseini,Historical Fiction,"A man returns to a war-torn homeland to confront a childhood betrayal and seek redemption. Themes of guilt, friendship, redemption, family, war."
The Nightingale,Kristin Hannah,Historical Fiction,"Two sisters in occupied France each find their own way to resist and survive during World War II. Themes of war, sisterhood, courage, sacrifice, resilience."
And Then There Were None,Agatha Christie,Mystery,"Ten strangers are lured to an isolated island and murdered one by one according to a sinister nursery rhyme. Themes of murder mystery, suspense, isolation, justice, puzzle."
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery,"A brilliant detective uses sharp observation and logic to solve a series of baffling crimes in Victorian London. Themes of detective, mystery, logic, crime solving, deduction."
Murder on the Orient Express,Agatha Christie,Mystery,"A famous detective must solve a murder aboard a snowbound train filled with suspicious passengers. Themes of murder mystery, detective, suspense, puzzle, justice."
Big Little Lies,Liane Moriarty,Mystery,"Secrets among a group of mothers at an elementary school unravel into a shocking act of violence. Themes of mystery, family drama, secrets, friendship, suspense."
The Fault in Our Stars,John Green,Romance,"Two teenagers with cancer fall in love while grappling with mortality and the meaning of their time together. Themes of love, illness, coming of age, loss, hope."
Me Before You,Jojo Moyes,Romance,"A young caregiver and the paralyzed man she cares for form an unexpected, life-changing bond. Themes of love, disability, sacrifice, self-discovery, loss."
The Notebook,Nicholas Sparks,Romance,"A lifelong love story between two people is recounted through the pages of a worn notebook. Themes of love, memory, devotion, romance, aging."
Outlander,Diana Gabaldon,Romance,"A World War II nurse is mysteriously transported back to eighteenth century Scotland and falls in love. Themes of time travel, romance, adventure, history, survival."
Normal People,Sally Rooney,Romance,"Two Irish teenagers navigate a complicated on-and-off relationship through school and university. Themes of love, class, identity, connection, coming of age."
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-fiction,"A sweeping exploration of how Homo sapiens came to dominate the planet through cognitive, agricultural, and scientific revolutions. Themes of history, anthropology, society, evolution, big ideas."
Educated,Tara Westover,Non-fiction,"A woman raised in a strict, isolated household recounts her extraordinary journey to self-education and independence. Themes of memoir, education, family, resilience, self-discovery."
Atomic Habits,James Clear,Non-fiction,"A practical guide to building good habits and breaking bad ones through small, consistent changes. Themes of self-improvement, habits, productivity, psychology, growth."
Becoming,Michelle Obama,Non-fiction,"A former First Lady reflects on her personal journey, career, and time in the White House. Themes of memoir, identity, leadership, resilience, family."
"Thinking, Fast and Slow",Daniel Kahneman,Non-fiction,"A Nobel laureate explores the two systems that drive human thought and decision making. Themes of psychology, decision making, cognition, behavior, science."
The Fellowship of the Ring: Illustrated,J.R.R. Tolkien,Fantasy,"An illustrated edition following a hobbit and companions on a dangerous journey to destroy a powerful ring. Themes of epic quest, friendship, sacrifice, mythical world, adventure."
Percy Jackson and the Titan's Curse,Rick Riordan,Fantasy,"Percy and friends race to rescue captured demigods and prevent an ancient Titan from rising to power. Themes of mythology, adventure, friendship, quest, courage."
The Priory of the Orange Tree,Samantha Shannon,Fantasy,"In a world threatened by an ancient dragon's return, queens, mages, and dragonriders must unite. Themes of dragons, magic, epic fantasy, prophecy, sisterhood."
Circe,Madeline Miller,Fantasy,"A minor goddess exiled to a solitary island discovers her own power through myth, magic, and self-discovery. Themes of mythology, transformation, isolation, power, self-discovery."
The Night Circus,Erin Morgenstern,Fantasy,"Two young illusionists bound in a magical competition fall in love within a mysterious traveling circus. Themes of magic, romance, competition, wonder, fate."
